  UID   PID  PPID   C STIME   TTY           TIME CMD
  501  6621     1   0  8Oct23 ??        74:35.97 /usr/libexec/sharingd
  501  6623     1   0  8Oct23 ??         0:08.25 /System/Library/PrivateFrameworks/CloudDocs.framework/PlugIns/com.apple.CloudDocs.iCloudDriveFileProvider.appex/Contents/MacOS/com.apple.CloudDocs.iCloudDriveFileProvider -AppleLanguages ("ru-KZ")
    0  6711     1   0  8Oct23 ??        20:30.20 /usr/sbin/cfprefsd daemon
  501  6712     1   0  8Oct23 ??        20:38.18 /usr/sbin/cfprefsd agent
  501  6789     1   0  8Oct23 ??         0:38.19 /System/Library/PrivateFrameworks/PassKitCore.framework/passd
    0  6899     1   0  8Oct23 ??        30:59.48 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
  501  7135     1   0  8Oct23 ??         1:22.89 /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension -AppleLanguages ("ru-KZ")
  501  7414     1   0  9Oct23 ??         0:00.11 /usr/libexec/USBAgent
  501  9261     1   0 12Oct23 ??         1:16.73 /System/Library/PrivateFrameworks/UniversalAccess.framework/Versions/A/Resources/universalAccessAuthWarn.app/Contents/MacOS/universalAccessAuthWarn launchd -s
  501  9896     1   0 13Oct23 ??         0:00.22 /System/Library/CoreServices/Setup Assistant.app/Contents/Resources/mbuseragent
  501 14342     1   0 20Oct23 ??         0:56.52 /Library/Apple/System/Library/PrivateFrameworks/RemotePairing.framework/Versions/A/XPCServices/remotepairingd.xpc/Contents/MacOS/remotepairingd
  501 15418     1   0 21Oct23 ??         0:14.32 /System/Library/Frameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
  501 15725     1   0 28Dec23 ??         0:48.62 /usr/libexec/bluetoothuserd
  501 18548     1   0 24Oct23 ??         0:00.12 /System/Cryptexes/App/usr/libexec/SafariNotificationAgent
  501 18553     1   0 24Oct23 ??        54:28.17 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  501 20196     1   0 25Oct23 ??       257:20.50 /Applications/Google Chrome.app/Contents/MacOS/Google Chrome
  501 20201     1   0 25Oct23 ??         0:03.10 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/118.0.5993.117/Helpers/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --database=/Users/zaras/Library/Application Support/Google/Chrome/Crashpad --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=plat=OS X --annotation=prod=Chrome_Mac --annotation=ver=118.0.5993.117 --handshake-fd=5
